model,regime,case,params,mean_rmse,fold0_rmse,fold1_rmse,fold2_rmse
RandomForest,charging,case2_solar,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 600}",5.2405781872464345,7.99019501205038,3.3866034860539185,4.344936063635006
RandomForest,charging,case2_solar,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 600}",4.150816435779702,7.475752984250733,1.220922685284724,3.7557736378036486
RandomForest,charging,case2_solar,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 600}",5.308046515227693,7.97001172539731,3.6651389876276705,4.288988832658099
RandomForest,charging,case2_solar,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 600}",4.174868596566669,7.437058828626478,1.2190316735305102,3.868515287543017
RandomForest,charging,case2_solar,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 600}",5.086873127767377,7.950750555922028,3.1003128198968275,4.209556007483275
RandomForest,charging,case2_solar,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 600}",4.135995202285161,7.392135980592296,1.3720200762632597,3.6438295499999285
RandomForest,charging,case2_solar,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 600}",5.229713881770441,7.989642746691382,3.3532505348802726,4.34624836373967
RandomForest,charging,case2_solar,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 600}",4.162650980711136,7.449597107826928,1.2529313373987419,3.785424496907739
RandomForest,charging,case2_solar,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 600}",5.185833281882033,7.974857783758221,3.3251936166507363,4.257448445237142
RandomForest,charging,case2_solar,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 600}",4.17324111932862,7.430230385317041,1.221140584614825,3.8683523880539923
RandomForest,charging,case2_solar,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 600}",5.107714558137558,7.962157035450781,3.149987967879971,4.210998671081922
RandomForest,charging,case2_solar,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 600}",4.136607635114932,7.392065057854676,1.3724116205213233,3.6453462269687984
RandomForest,charging,case2_solar,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 600}",5.246988842513434,7.991643360676899,3.4023843296601473,4.346938837203255
RandomForest,charging,case2_solar,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 600}",4.151090664931762,7.475407291650162,1.222091065341476,3.7557736378036477
RandomForest,charging,case2_solar,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 600}",5.307616014484281,7.970011725397307,3.6638474853974348,4.2889888326581
RandomForest,charging,case2_solar,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 600}",4.174868596566667,7.43705882862648,1.2190316735305058,3.8685152875430173
RandomForest,charging,case2_solar,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 600}",5.086873127767377,7.950750555922027,3.10031281989683,4.209556007483275
RandomForest,charging,case2_solar,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 600}",4.13599520228516,7.392135980592294,1.3720200762632615,3.6438295499999236
RandomForest,charging,case3_lags,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",3.229195154145603,5.728547733191678,1.022012159643941,2.9370255696011904
RandomForest,charging,case3_lags,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 300}",2.903210284673594,4.73837310336222,0.2827248035705015,3.6885329470880595
RandomForest,charging,case3_lags,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",3.1601163231512923,5.635785743543771,0.9870036854327601,2.8575595404773457
RandomForest,charging,case3_lags,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 300}",2.910178777477588,4.754959953484848,0.27984045806314123,3.6957359208847733
RandomForest,charging,case3_lags,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",3.2974674536512008,5.810747899219815,1.15646125515621,2.925193206577577
RandomForest,charging,case3_lags,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 300}",2.9136778549660476,4.681647265681145,0.2851987215229469,3.7741875776940494
RandomForest,charging,case3_lags,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",3.293107795025717,5.751680004952342,1.199874374411784,2.927769005713024
RandomForest,charging,case3_lags,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 300}",2.960427784034328,4.7915143630524994,0.28339991988876106,3.8063690691617227
RandomForest,charging,case3_lags,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",3.223160796716026,5.805755606585222,0.9482571972662686,2.9154695862965876
RandomForest,charging,case3_lags,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 300}",2.9097749120004575,4.706655143575342,0.2778906532233884,3.7447789392026407
