model,regime,case,params,mean_rmse,fold0_rmse,fold1_rmse,fold2_rmse
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.419189062436108,7.448889218816873,2.1791851794621167,3.6294927890293356
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.569361031791057,7.268357068091295,2.07577405894961,4.363951968332263
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.321847962918194,7.26264518270024,1.8452112756134063,3.857687430440936
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.413311318663447,7.269144014506171,2.278567162646624,3.6922227788375444
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.419257384151944,7.384200802780901,2.2783720834294563,3.5951992662454737
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": null, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.563743944031375,7.267050364611995,2.0645971963149132,4.359584271167217
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_depth"": null, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.328092179003437,7.2684427525871405,1.8561565487737852,3.859677235649384
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": null, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.413311318663447,7.269144014506171,2.278567162646624,3.6922227788375444
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_depth"": null, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.419257384151944,7.384200802780901,2.2783720834294563,3.5951992662454737
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 800, ""min_samples_leaf"": 5}",4.376249411293992,7.249928304393511,1.7641253197296443,4.114694609758821
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 800, ""min_samples_leaf"": 5}",4.416688658702758,7.252781311786898,2.12100190145467,3.876282762866706
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 800, ""min_samples_leaf"": 15}",4.297845855293393,7.203333103514808,2.031465156158246,3.6587393062071265
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 800, ""min_samples_leaf"": 15}",4.375682065915399,7.388673208827674,2.1285769070350966,3.609796081883426
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 8, ""max_iter"": 800, ""min_samples_leaf"": 5}",4.635124322432968,7.214604310014364,2.253882793219568,4.436885864064971
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 8, ""max_iter"": 800, ""min_samples_leaf"": 5}",4.373154177316537,7.256348786985663,1.9209716495169586,3.942142095446988
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 8, ""max_iter"": 800, ""min_samples_leaf"": 15}",4.391835925236409,7.286791385234256,2.221903267079068,3.6668131233959027
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 8, ""max_iter"": 800, ""min_samples_leaf"": 15}",4.443480859429983,7.41161735528093,2.301935350387699,3.6168898726213223
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": null, ""max_iter"": 800, ""min_samples_leaf"": 5}",4.628660009090743,7.2164576147966635,2.2458301209150386,4.423692291560528
